   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
   18400 -3.96718697E-05 -5.35634943E-06  2.67065388E+00  2.67065388E+00  0.00000000E+00
   18500 -3.63559581E-05 -7.66454950E-06  2.67064813E+00  2.67064813E+00  0.00000000E+00
   18600 -3.24457628E-05 -7.06546890E-06  2.67064122E+00  2.67064122E+00  0.00000000E+00
   18700 -4.66200364E-05 -5.82948946E-06  2.67063597E+00  2.67063597E+00  0.00000000E+00
   18800 -4.81420928E-05 -1.49144745E-05  2.67063136E+00  2.67063136E+00  0.00000000E+00
   18900 -5.28294151E-05 -1.68654570E-05  2.67062535E+00  2.67062535E+00  0.00000000E+00
   19000 -5.27013250E-05 -1.56759462E-05  2.67061928E+00  2.67061928E+00  0.00000000E+00
   19100 -5.60804545E-05 -1.02053881E-05  2.67061489E+00  2.67061489E+00  0.00000000E+00
   19200 -6.05182645E-05 -9.97730780E-06  2.67061127E+00  2.67061127E+00  0.00000000E+00
   19300 -5.58212507E-05 -8.37876293E-06  2.67060645E+00  2.67060645E+00  0.00000000E+00
   19400 -5.74766841E-05 -5.08169165E-06  2.67060269E+00  2.67060269E+00  0.00000000E+00
   19500 -5.62724445E-05 -4.24875830E-06  2.67059858E+00  2.67059858E+00  0.00000000E+00
   19600 -6.12271982E-05 -1.49310418E-05  2.67059528E+00  2.67059528E+00  0.00000000E+00
   19700 -5.57462653E-05 -1.48656341E-05  2.67059242E+00  2.67059242E+00  0.00000000E+00
   19800 -6.03518837E-05 -1.01284147E-05  2.67059071E+00  2.67059071E+00  0.00000000E+00
   19900 -6.68530090E-05 -1.11008827E-05  2.67058885E+00  2.67058885E+00  0.00000000E+00
   20000 -7.16292475E-05 -1.18577899E-05  2.67058726E+00  2.67058726E+00  0.00000000E+00
   20100 -7.77088108E-05 -1.19919353E-05  2.67058558E+00  2.67058558E+00  0.00000000E+00
   20200 -7.55883214E-05 -1.48615356E-05  2.67058435E+00  2.67058435E+00  0.00000000E+00
   20300 -7.01411317E-05 -1.45292277E-05  2.67058308E+00  2.67058308E+00  0.00000000E+00
   20400 -7.46805413E-05 -1.50123733E-05  2.67058120E+00  2.67058120E+00  0.00000000E+00
   20500 -7.16139815E-05 -2.20272134E-05  2.67057879E+00  2.67057879E+00  0.00000000E+00
   20600 -7.27484379E-05 -2.39387782E-05  2.67057672E+00  2.67057672E+00  0.00000000E+00
   20700 -7.67056257E-05 -2.94102894E-05  2.67057530E+00  2.67057530E+00  0.00000000E+00
